client_name,note,created,products
francivaldo4334,,2024-08-09,"Churrasco misto (x1), Baião (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-08-09,"Churrasco misto (x1), Baião (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Fernanda,"Sem arroz, por favor",2024-08-09,"Churrasco misto (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Andreiver,Sem salada e sem vinagrete,2024-08-09,Churrasco misto (x1)
Marciela,Ótima Sexta! Por favor não coloque farofa dentro da quentinha pqq seca o caldinho que eu amoooo!  ,2024-08-09,"Cozidão (x1), Baião (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
gabriel,"Sem porco, +salada + macarrão, obrigado!",2024-08-09,"Churrasco misto (x1), Baião (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-08-08,"Assado de Panela (x1), Arroz (x1), Feijão (x1), Macarrão (x1)"
Marciela,Bom dia! Moça sou extremamente alérgica a Camarão. Cuidado para não manusear com a mesma colher!! Muito grata 😘,2024-08-08,"Assado de Panela (x1), Arroz (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-08-08,"Assado de Panela (x1), Arroz (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-08-08,"Assado de Panela (x1), Arroz (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-08-08,"Assado de Panela (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
gabriel,pouco arroz + salada + macarrão obrigado,2024-08-08,"Assado de Panela (x1), Arroz (x1), Farofa (x1), Macarrão (x1)"
Andreiver,,2024-08-07,"Lasanha de frango (x1), Arroz (x1)"
Pbpimenta,,2024-08-07,Lasanha de frango (x1)
Marciela,"Otimo dia!! Favor não colocar a farofa dentro da quentinha, pq some o caldinho 😁😁",2024-08-07,"Galinha ao molho (x1), Arroz (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-08-07,"Lasanha de frango (x1), Arroz (x1), Feijão (x1), Salada (x1)"
igor,,2024-08-07,"Assado de Panela (x1), Lasanha de frango (x1), Arroz (x1), Farofa (x1), Feijão (x1), Macarrão (x1)"
francivaldo4334,,2024-08-07,"Lasanha de frango (x1), Arroz (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-08-07,"Lasanha de frango (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
gabriel,,2024-08-07,"Galinha ao molho (x1), Arroz (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-08-06,"Cozidão (x1), Arroz (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-08-06,"Cozidão (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Marciela,Otimo dia,2024-08-06,"Cozidão (x1), Arroz (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-08-06,"Frango assado no forno (x1), Arroz (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-08-06,"Frango assado no forno (x1), Arroz (x1), Feijão (x1), Macarrão (x1)"
gabriel,,2024-08-06,"Frango assado no forno (x1), Arroz (x1), Macarrão (x1), Salada (x1)"
Fernanda,Sem arroz por favor ,2024-08-05,"Bife ao molho (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Andreiver,,2024-08-05,"Assado de Panela (x1), Arroz (x1), Feijão (x1), Macarrão (x1)"
Marciela,Ótima e abençoada semana,2024-08-05,"Galinha ao molho (x1), Arroz (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
francivaldo4334,,2024-08-05,"Bife ao molho (x1), Arroz (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Eric,,2024-08-05,"Galinha ao molho (x1), Arroz (x1), Macarrão (x1), Salada (x1)"
gabriel,,2024-08-05,"Bife ao molho (x1), Arroz (x1), Macarrão (x1), Salada (x1)"
capitaobarbie2,,2024-08-02,"Churrasco misto (x1), Arroz (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
francivaldo4334,,2024-08-02,"Churrasco misto (x1), Arroz (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Marciela,Ótima Sexta! Por favor coloque menos arroz e se for possível coloque feijoada!! Se for possível!! De já agradeço ,2024-08-02,"Churrasco misto (x1), Arroz (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Eric,,2024-08-02,"Churrasco misto (x1), Arroz (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
fhilipecoelho,,2024-08-02,"Feijoada (x1), Arroz (x1), Farofa (x1), Macarrão (x1)"
Fernanda,"Sem arroz, por favor",2024-08-02,"Churrasco misto (x1), Farofa (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
Andreiver,Sem salada e sem vinagrete,2024-08-02,Churrasco misto (x1)
gabriel,,2024-08-02,"Churrasco misto (x1), Arroz (x1), Macarrão (x1), Salada (x1), Vinagrete (x1)"
francivaldo4334,,2024-08-01,"Assado de Panela (x1), Arroz (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Pbpimenta,,2024-08-01,"Assado de porco (x1), Arroz (x1), Feijão (x1), Macarrão (x1)"
Andreiver,,2024-08-01,"Assado de Panela (x1), Arroz (x1), Feijão (x1), Macarrão (x1)"
Eric,,2024-08-01,"Assado de Panela (x1), Arroz (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Marciela,,2024-08-01,"Assado de Panela (x1), Arroz (x1), Farofa (x1), Feijão (x1), Macarrão (x1), Salada (x1)"
Fernanda,"Sem arroz, por favor",2024-08-01,"Assado de Panela (x1), Farofa (x1), Macarrão (x1), Salada (x1)"
gabriel,,2024-08-01,"Galinha ao molho branco (x1), Arroz (x1), Macarrão (x1), Salada (x1)"
